"","make","year","transtype","youSaveSpend"
"472","Land Rover",2009,"Automatic",-43500
"473","Land Rover",2010,"Automatic",-43500
"474","Land Rover",2011,"Automatic",-43500
"475","Land Rover",2012,"Automatic",-45500
"476","Land Rover",2013,"Automatic",-41500
"477","Land Rover",2014,"Automatic",-60250
"478","Land Rover",2015,"Automatic",-47750
"479","Lexus",2004,"Automatic",-43500
"480","Lexus",2004,"Manual",-4500
"481","Lexus",2005,"Automatic",-44750
"482","Lexus",2005,"Manual",-4500
"483","Lexus",2006,"Automatic",-52000
"484","Lexus",2006,"Manual",-2500
"485","Lexus",2007,"Automatic",-60750
"486","Lexus",2007,"Manual",-2500
"487","Lexus",2008,"Automatic",-67750
"488","Lexus",2008,"Manual",-2500
"489","Lexus",2009,"Automatic",-75250
"490","Lexus",2009,"Manual",-2500
"491","Lexus",2010,"Automatic",-61250
"492","Lexus",2010,"Manual",-2500
"493","Lexus",2011,"Automatic",-55500
"494","Lexus",2011,"Manual",-2000
"495","Lexus",2012,"Automatic",-44000
"496","Lexus",2012,"Manual",-2000
"497","Lexus",2013,"Automatic",-44250
"498","Lexus",2014,"Automatic",-48000
"499","Lexus",2015,"Automatic",-50750
"500","Lincoln",2004,"Automatic",-45000
"501","Lincoln",2005,"Automatic",-46250
"502","Lincoln",2006,"Automatic",-37750
"503","Lincoln",2007,"Automatic",-34000
"504","Lincoln",2008,"Automatic",-33000
"505","Lincoln",2009,"Automatic",-19750
"506","Lincoln",2010,"Automatic",-28500
"507","Lincoln",2011,"Automatic",-41500
"508","Lincoln",2012,"Automatic",-23250
"509","Lincoln",2013,"Automatic",-22500
"510","Lincoln",2014,"Automatic",-22500
"511","Lincoln",2015,"Automatic",-29500
"512","Lotus",2004,"Manual",-6000
"513","Lotus",2005,"Manual",-2000
"514","Lotus",2006,"Manual",-2000
"515","Lotus",2007,"Manual",-1250
"516","Lotus",2008,"Manual",-1250
"517","Lotus",2009,"Manual",-3750
